aitem_id,tag
323,Jewellery
323,Rings
324,Clothing
324,Women's Clothing
324,Western Wear
325,Jewellery
325,Rings
326,Footwear
326,Kids' & Infant Footwear
326,For Boys
327,Clothing
327,Women's Clothing
327,Western Wear
328,Clothing
328,Women's Clothing
328,Western Wear
329,Clothing
329,Men's Clothing
329,Shirts
330,Home Decor & Festive Needs
330,Showpieces
330,Eshoppee Showpieces
331,Jewellery
331,Rings
332,Jewellery
332,Rings
333,Clothing
333,Kids' Clothing
333,Girls Wear
334,Clothing
334,Kids' Clothing
334,Girls Wear
335,Clothing
335,Men's Clothing
335,Shirts
336,Clothing
336,Men's Clothing
336,Shirts
337,Clothing
337,Men's Clothing
337,Shirts
338,Clothing
338,Men's Clothing
338,Shirts
339,Clothing
339,Women's Clothing
339,Ethnic Wear
340,Clothing
340,Women's Clothing
340,Ethnic Wear
341,Clothing
341,Women's Clothing
341,Western Wear
342,Clothing
342,Women's Clothing
342,Western Wear
343,Clothing
343,Women's Clothing
343,Western Wear
344,Clothing
344,Women's Clothing
344,Western Wear
345,Clothing
345,Women's Clothing
345,Western Wear
346,Clothing
346,Women's Clothing
346,Western Wear
347,Clothing
347,Women's Clothing
347,Western Wear
348,Clothing
348,Women's Clothing
348,Western Wear
349,Clothing
349,Women's Clothing
349,Western Wear
350,Jewellery
350,Rings
351,Jewellery
351,Rings
352,Clothing
352,Women's Clothing
352,Western Wear
353,Clothing
353,Women's Clothing
353,Western Wear
354,Clothing
354,Women's Clothing
354,Western Wear
355,Clothing
355,Women's Clothing
355,Western Wear
356,Clothing
356,Women's Clothing
356,Western Wear
357,Clothing
357,Women's Clothing
357,Western Wear
358,Clothing
358,Women's Clothing
358,Western Wear
359,Clothing
359,Women's Clothing
359,Western Wear
360,Clothing
360,Women's Clothing
360,Western Wear
361,Clothing
361,Women's Clothing
361,Western Wear
362,Clothing
362,Women's Clothing
362,Western Wear
363,Jewellery
363,Rings
364,Jewellery
364,Rings
365,Jewellery
365,Rings
366,Clothing
366,Women's Clothing
366,Western Wear
367,Clothing
367,Women's Clothing
367,Western Wear
368,Jewellery
368,Rings
369,Clothing
369,Women's Clothing
369,Western Wear
370,Jewellery
370,Rings
371,Clothing
371,Men's Clothing
371,Shirts
372,Clothing
372,Women's Clothing
372,Western Wear
373,Clothing
373,Women's Clothing
373,Western Wear
374,Clothing
374,Women's Clothing
374,Western Wear
375,Clothing
375,Women's Clothing
375,Western Wear
376,Jewellery
376,Rings
377,Jewellery
377,Rings
378,Jewellery
378,Rings
379,Clothing
379,Women's Clothing
379,Winter & Seasonal Wear
380,Jewellery
380,Rings
381,Jewellery
381,Rings
382,Jewellery
382,Rings
383,Jewellery
383,Rings
384,Clothing
384,Women's Clothing
384,Western Wear
385,Clothing
385,Women's Clothing
385,Western Wear
386,Clothing
386,Women's Clothing
386,Western Wear
387,Clothing
387,Women's Clothing
387,"Lingerie, Sleep & Swimwear"
388,Jewellery
388,Rings
389,Clothing
389,Women's Clothing
389,Western Wear
390,Furniture
390,Living Room
390,Display Units
391,Clothing
391,Men's Clothing
391,Shirts
392,Jewellery
392,Rings
393,Jewellery
393,Rings
394,Clothing
394,Women's Clothing
394,Western Wear
395,Clothing
395,Women's Clothing
395,Western Wear
396,Clothing
396,Women's Clothing
396,Western Wear
397,Clothing
397,Women's Clothing
397,Western Wear
398,Clothing
398,Women's Clothing
398,Western Wear
399,Clothing
399,Women's Clothing
399,Western Wear
400,Clothing
400,Women's Clothing
400,Western Wear
401,Clothing
401,Women's Clothing
401,Western Wear
402,Footwear
402,Kids' & Infant Footwear
402,For Boys
403,Clothing
403,Women's Clothing
403,Western Wear
404,Clothing
404,Women's Clothing
404,Western Wear
405,Clothing
405,Women's Clothing
405,Western Wear
406,Clothing
406,Women's Clothing
406,Western Wear
407,Clothing
407,Women's Clothing
407,Winter & Seasonal Wear
408,Clothing
408,Women's Clothing
408,Winter & Seasonal Wear
409,Jewellery
409,Rings
410,Jewellery
410,Rings
411,Clothing
411,Women's Clothing
411,Western Wear
412,Clothing
